vriome	MF17_V0	MF53_V0	MF26_V0	MF44_V0	MF08_V0	MF57_V0	MF39_V0	MF48_V0	MF04_V0	MF40_V0	MF31_V0	MF13_V0	MF37_V0	MF55_V0	MF19_V0	MF46_V0	MF28_V0	MF02_V0	MF20_V0	MF11_V0	MF59_V0	MF06_V0	MF24_V0	MF60_V0	MF15_V0	MF27_V0	MF45_V0	MF10_V0	MF01_V0	MF49_V0	MF58_V0	MF14_V0	MF41_V0	MF23_V0	MF47_V0	MF29_V0	MF56_V0	MF38_V0	MF30_V0	MF21_V0	MF03_V0	MF52_V0	MF16_V0	MF34_V0	MF25_V0	MF07_V0	MF43_V0
VC_1154_0	0.21207944619731	0.372398300397201	0.359672614626819	0.187236426693099	0.100333267151216	0.152425458153737	0.135888656462328	0.0153752572703517	0.25790373584441	0.0950115023910158	0.0504581852413405	0.374641677812525	0.119617391466415	0.138500517753114	0.166015223494572	0.304191951879855	0.0802417135371666	0.336164391408797	0.0436908692471837	-0.0773467739101778	0.142996710089927	0.244871749436025	-0.115426580162267	0.436999772388239	0.269347353869631	0.049992921153961	0.242967154900315	-0.0748959387713331	0.168434174151859	0.162604836884372	0.245851646596956	3.16950066276247	0.329465995121444	0.362382358744189	0.279533562136131	0.418490228795234	0.348819682555442	0.0107846940365283	0.196405674012864	0.397487941953282	0.1417998233041	0.385655740808064	0.260241376165144	0.0975710149815526	0.146848209917359	-0.0294891772658824	-0.00434637247616422
VC_1160_0	-0.0392057946744719	0.12111305952542	0.108387373755037	-0.0640488141786822	-0.150951973720565	-0.098859782718045	1.99043615016701	-0.23590998360143	0.00661849497262881	-0.156273738480766	3.22883893237418	0.123356436940743	-0.131667849405367	-0.112784723118668	-0.0852700173772094	0.052906711008073	-0.171043527334615	0.0848791505370156	-0.207594371624598	-0.328632014781959	-0.108288530781855	-0.006413491435757	2.57590137230176	0.185714531516458	0.0180621129978491	-0.201292319717821	-0.00831808597146634	-0.326181179643115	-0.0828510667199227	-0.0886804039874097	-0.00543359427482568	-0.176979360087977	0.0781807542496624	0.111097117872407	0.0282483212643491	0.167204987923452	0.0975344416836608	-0.240500546835253	-0.0548795668589177	1.50365244496267	-0.109485417567682	0.134370499936282	0.00895613529336275	4.88998576365973	-0.104437030954423	2.9712102412207	-0.255631613347946
VC_1182_0	-0.999534248231101	-0.83921539403121	-0.851941079801592	-1.02437726773531	-1.11128042727719	1.14333943830194	-1.07572503796608	0.958737625241564	2.3153438185451	-1.1166021920374	-1.16115550918707	-0.836972016615886	-1.091996302962	1.44494530019408	-1.04559847093384	-0.907421742548556	-1.13137198089124	-0.875449303019614	-1.16792282518123	1.59646236283455	1.51181158652411	-0.966741944992386	1.12677709024553	-0.774613922040172	-0.94226634055878	-1.16162077327445	-0.968646539528096	3.67349517918777	-1.04317952027655	-1.04900885754404	-0.965762047831455	-1.13730781364461	-0.882147699306967	-0.849231335684222	-0.93208013229228	-0.793123465633177	-0.862794011872968	3.81374995399033	-1.01520802041555	2.35559709039306	-1.06981387112431	-0.825957953620347	4.10023483893189	4.42867318003744	-1.06476548451105	-1.24110287169429	-1.21596006690458
VC_1184_3	-0.687405498558987	-0.526950419265383	-0.539802921937665	-0.712144764067132	-0.799147896758607	-0.747034020444861	-0.763714575685445	-0.884218587156089	-0.641557827223053	-0.804397492328115	-0.849128300545723	-0.524706006734985	1.47237582596694	-0.760874273128731	-0.733693240501821	-0.595262575666582	-0.819145198928215	-0.563200059572895	-0.855730641350203	-0.976816447745852	-0.756466473690179	-0.654569288349585	-1.01499255566335	-0.462483216182348	-0.630176002897848	-0.849546099058374	-0.656419315648043	-0.974479851232032	-0.731003282480064	-0.736818528686765	-0.653528689867706	-0.825322803218399	-0.569881130916926	-0.537248348095658	-0.619975775793829	-0.48096090313137	-0.550610995640748	1.63726503182907	-0.703058467458424	-0.502177161224818	-0.757591032811794	-0.513734757324509	-0.63909808410998	-0.802049909055344	-0.752541571130753	-0.928951979325277	-0.903805087293836
VC_1185_0	-1.39330742346051	-1.23298856926061	2.94237464565702	-1.41815044296472	0.760950082698296	-1.45296141150408	-1.46949821319549	-1.59001161238746	-1.3474831338134	-1.5103753672668	-1.55492868441647	0.157433039747418	-1.4857694781914	-1.4668863519047	-1.43937164616324	1.83506239853781	-1.52514515612065	-1.26922247824902	-1.56169600041063	1.02774943503903	0.229454015247314	-1.36051512022179	-1.72081344982008	-1.16838709726958	-1.33603951578818	-1.55539394850385	-1.3624197147575	-1.68028280842915	-1.43695269550596	-1.44278203277344	1.64668323593718	-1.53108098887401	-1.27592087453637	-1.24300451091363	-1.32585330752168	-1.18689664086258	-1.25656718710237	2.44303415812668	-1.40898119564495	-1.20789892770453	-1.46358704635372	-1.21973112884975	-1.34514549349267	-1.50781585467626	-1.45853865974046	-1.6348760469237	-1.60973324213398
VC_1187_0	-0.570250718877604	-0.409931864677712	-0.422657550448095	-0.595093738381814	-0.681996897923697	-0.629904706921177	-0.646441508612586	-0.766954907804562	-0.524426429230503	-0.687318662683898	-0.731871979833573	-0.407688487262389	2.89273333936193	-0.6438296473218	-0.616314941580341	-0.478138213195059	-0.702088451537747	-0.446165773666116	-0.73863929582773	-0.859676938985091	-0.639333454984987	-0.537458415638889	-0.897756745237181	-0.345330392686674	-0.512982811205283	-0.732337243920953	-0.539363010174598	-0.857226103846247	-0.613895990923055	-0.619725328190542	-0.536478518477958	-0.708024284291109	-0.45286416995347	-0.419947806330725	-0.502796602938783	-0.36383993627968	-0.433510482519471	-0.771545471038385	-0.58592449106205	-0.384842223121632	-0.640530341770814	-0.39667442426685	-0.522088788909769	-0.684759150093361	-0.635481955157555	-0.811819342340796	-0.786676537551078
VC_1192_0	-1.13564610431455	2.12732056632403	-0.988052935885045	-1.16048912381876	1.28262564826037	-1.19530009235813	-1.21183689404954	-1.33235029324151	-1.08982181466745	0.325019967524326	-1.29726736527052	-0.973083872699339	-1.22810815904545	2.38332613040118	-1.18171032701729	-1.04353359863201	-1.2674838369747	-1.01156115910307	-1.30403468126468	-1.42507232442204	-1.20472884042194	-1.10285380107584	1.02567461515769	-0.910725778123625	-1.07837819664223	-1.2977326293579	-0.0216077844957108	-1.4226214892832	-1.17929137636	1.4223083336362	2.1310308866616	-1.27341966972806	-1.01825955539042	-0.985343191767675	1.85845820261944	-0.92923532171663	-0.998905867956421	1.11289002480855	-1.151319876499	-0.950237608558582	1.92467150371622	-0.9620698097038	-1.08748417434672	-1.25015453553031	-1.20087734059451	-1.37721472777775	2.54590549263621
VC_1193_0	-0.737394606150836	-0.576939526857233	-0.589792029529515	-0.762133871658982	0.955987323779674	-0.797023128036711	-0.813703683277295	-0.934207694747938	-0.691546934814903	-0.854386599919964	-0.899117408137573	-0.574695114326835	-0.829893695885192	2.25820422995299	-0.783682348093671	-0.645251683258432	-0.869134306520065	-0.613189167164744	-0.905719748942053	-1.0268055553377	-0.806455581282028	-0.704558395941435	-1.0649816632552	-0.512472323774197	-0.680165110489698	-0.899535206650224	-0.706408423239893	-1.02446895882388	-0.780992390071914	-0.786807636278614	-0.703517797459556	-0.875311910810249	-0.619870238508775	-0.587237455687508	-0.669964883385678	-0.53095001072322	-0.600600103232598	0.391069952044968	-0.753047575050273	-0.552166268816668	-0.807580140403643	-0.563723864916359	-0.68908719170183	-0.852039016647194	-0.802530678722603	-0.978941086917126	-0.953794194885686
VC_1195_0	-0.237132849529809	-0.076813995329918	-0.0895396811003003	-0.26197586903402	1.30736514052629	-0.296786837573383	-0.313323639264791	-0.433837038456768	-0.191308559882709	-0.354200793336103	-0.398754110485779	-0.0745706179145942	-0.329594904260704	-0.310711777974005	-0.283197072232547	-0.145020343847265	-0.368970582189953	-0.113047904318322	-0.405521426479935	-0.526559069637297	-0.306215585637192	-0.204340546291095	-0.564638875889387	-0.01221252333888	-0.179864941857489	1.98943857272969	-0.206245140826804	-0.524108234498452	-0.28077812157526	-0.286607458842747	-0.203360649130163	-0.374906414943315	-0.119746300605675	-0.0868299369829306	-0.169678733590989	-0.0307220669318852	-0.100392613171677	-0.438427601690591	-0.252806621714255	-0.0517243537738373	-0.30741247242302	-0.0635565549190553	-0.188970919561975	-0.351641280745567	-0.30236408580976	3.26505007983219	1.23374999004512
VC_1196_0	-0.430283099902546	-0.269828020608943	-0.282680523281224	-0.455022365410692	-0.542025498102166	-0.489911621788421	-0.506592177029005	-0.627096188499648	-0.384435428566612	-0.547275093671674	-0.592005901889282	-0.267583608078545	-0.522782189636901	-0.503751874472291	-0.47657084184538	-0.338140177010142	-0.562022800271775	-0.306077660916454	-0.598608242693763	-0.719694049089411	-0.499344075033738	-0.397446889693144	0.131224891249151	-0.205360817525907	-0.373053604241408	-0.592423700401934	-0.399296916991603	-0.717357452575592	-0.473880883823624	-0.479696130030324	-0.396406291211266	-0.568200404561959	-0.312758732260485	-0.280125949439218	-0.362853377137388	-0.223838504474929	-0.293488596984308	-0.631661576143403	-0.445936068801983	-0.245054762568377	-0.500468634155353	-0.256612358668069	-0.381975685453539	-0.544927510398904	-0.495419172474313	3.20054989898877	-0.646682688637396
