gene1	gene2	z_score
10449	60	-0.010525948933266707
10449	70	0.10663640710277254
10449	71	0.04921236484715462
10449	72	0.2315359296732618
10449	86	-0.35357155363759035
10449	51412	0.043482381937728506
10449	10881	0.1574433180775779
10449	10880	0.3895845562707025
10449	81569	-0.23146827274990767
10449	284382	-0.14631555756099632
31	32	-0.11561025213490536
31	80724	0.1488981469559229
31	84129	-0.2700038199002988
31	27034	0.05026332561950918
31	28976	-0.2749325592632797
31	33	0.021647045017679986
31	34	0.14000289631224133
31	36	0.18568434648955068
31	35	-0.10269128786378251
31	37	-0.010430900939700616
31	176	-0.34741418757602793
31	9744	-0.3434726583812516
31	23527	-0.1092959612044104
31	116983	-0.20439762253472177
31	38	0.06536435876275946
31	39	-0.0767997165970907
31	64746	-0.235299138229363
31	79777	-0.08329385698361683
31	91452	0.08873934051147718
31	84320	-0.2447512152502069
31	414149	-0.3494798866671164
31	40	-0.11874691954344226
31	41	-0.07078731211027195
31	9311	-0.23512733649473802
31	55515	-0.3032242696126302
31	51802	-0.08934316872692721
31	390110	-0.07109061514676855
31	84680	-0.3375287077262459
31	65057	-0.2932949344812204
31	59272	-0.11253306034883923
31	125981	-0.02711092051534071
31	340485	0.07323118180532108
31	55331	-0.10512548949167631
31	1636	-0.23417297257468356
31	43	-0.2596936785593259
31	22985	-0.23314296217638691
31	47	0.44989731845550024
31	130013	-0.0008380508950061594
31	57001	-0.17025760039251792
31	48	-0.10985921002828852
31	50	0.007891726285665104
31	26027	-0.27517751772282656
31	134526	-0.19308981853308466
31	55856	-0.02740174679944546
31	641371	0.0714493818210896
31	10965	0.1151933898102168
31	122970	0.17732428017028823
31	641372	0.11251202483354934
31	11332	-0.21438419556507662
31	10005	-0.3124273709414925
31	23597	-0.30988306633315305
31	51	0.06113828805659165
31	8309	0.11202101167701901
31	8310	0.022539379868354262
31	55289	-0.30989078928805963
31	52	-0.3058109527490217
31	53	-0.1749249823869935
31	54	-0.022458076936611282
31	51205	-0.0799879513407279
31	92370	-0.03153937120607429
31	55	-0.05517604171425501
31	93650	-0.23851134396579554
31	84519	-0.13845621901975602
31	93953	-0.15506123289746065
31	56	-0.1847213932908469
31	49	-0.47062508042942547
31	23205	-0.17578287726099756
31	81616	-0.25574119796567857
31	80221	0.051683432845179886
31	197322	-0.1388333860647787
31	2180	-0.1228865339987392
31	2181	0.19767721807785033
31	2182	-0.2773034071733804
31	51703	-0.2845192201382691
31	23305	-0.37911888401518207
31	116285	0.15030468650084966
31	123876	-0.12985896253355636
31	348158	-0.10229352994415368
31	6296	-0.005249018283499746
31	341392	-0.16069811058232458
31	54988	-0.1919957496924209
31	84532	-0.14303095167103563
31	55902	0.029557509383344935
31	79611	0.1988223236584173
31	58	-0.28222229131523313
31	59	-0.18612443587188734
31	345651	-0.18872905081826274
31	60	-0.4294900298467282
31	70	-0.35538386884440054
31	71	-0.16846201423152726
31	72	-0.2083315392316713
31	86	-0.17520299451856264
31	51412	-0.11287609627173681
31	10881	-0.20649692993446905
31	10880	-0.09300504858462091
31	81569	-0.00975768070239097
31	284382	-0.21032089338619364
32	80724	-0.03233020144842508
32	84129	0.22677395121263766
32	27034	0.02299834980418443
32	28976	-0.354490956167268
32	33	-0.041013207732932946
32	34	-0.11443916611047153
32	36	0.12621694956615614
32	35	0.15325490758249777
32	37	0.06747488328989677
32	176	-0.03303161665459779
32	9744	0.08274684282792498
32	23527	0.09580094948208635
32	116983	-0.18239716860937286
32	38	-0.14976818429510647
32	39	-0.3359642537573631
32	64746	-0.15810162644989728
32	79777	0.13933533005167675
32	91452	-0.08442797881035892
32	84320	-0.28677010122928837
32	414149	-0.2669556731790642
32	40	-0.11315041975560125
32	41	-0.10100997631096446
32	9311	-0.2307015976926503
32	55515	-0.147925725821194
32	51802	-0.07861991089712381
32	390110	-0.013858038685594584
32	84680	0.13323628018526062
32	65057	-0.21276672456961557
32	59272	-0.26473088137626655
32	125981	0.0037540406135184584
32	340485	0.10752562740555015
