species	MF17_V0	MF53_V0	MF26_V0	MF44_V0	MF08_V0	MF57_V0	MF39_V0	MF48_V0	MF04_V0	MF40_V0	MF31_V0	MF13_V0	MF37_V0	MF55_V0	MF19_V0	MF46_V0	MF28_V0	MF02_V0	MF20_V0	MF11_V0	MF59_V0	MF06_V0	MF24_V0	MF60_V0	MF15_V0	MF27_V0	MF45_V0	MF10_V0	MF01_V0	MF49_V0	MF58_V0	MF14_V0	MF41_V0	MF23_V0	MF47_V0	MF29_V0	MF56_V0	MF38_V0	MF30_V0	MF21_V0	MF03_V0	MF52_V0	MF16_V0	MF34_V0	MF25_V0	MF07_V0	MF43_V0
Parabacteroides_distasonis	2.18781740563135	4.9835461969372	7.19615345697788	6.21144247352302	6.36940652475866	6.73627404461124	-0.0314466688478771	0.36111076959573	7.07694870043485	2.36435908274891	5.14631990045295	1.76878159789276	3.38304200855079	0.169726541663149	7.35939906982499	1.26281752276872	6.50278251908747	4.59957295446739	3.03060029981822	0.0310224033765411	4.58409256216948	5.87030340569104	-0.479604196781475	10.9406307638083	2.58668823034077	5.82331480226732	5.99265166154131	3.00417693816804	1.93930732630169	0.814497999759625	5.26749118341431	3.09482540908698	4.66455358313117	2.38267125139088	7.42903660547397	3.07296379282655	-1.75405310562589	-1.43111307871176	3.28151974269479	3.40434530760718	3.41154762421053	1.49355269050574	8.12530939135629	2.02825032467182	1.02086070021876	4.28700473907155	-1.27183847242536
Parabacteroides_goldsteinii	3.94681883388581	-3.26600251900903	6.82678090855484	-4.84123520326377	4.90823715905772	0.7751637749391	-1.70422045645379	2.41505327820923	5.32887860463142	-0.59819732856618	1.38038345893272	-3.83259362745719	4.17323173572681	-4.41308244089707	5.60985932348505	0.407094466724254	3.13629764326415	-3.1118544194273	0.375750350758331	2.25316983053705	-0.288869090420666	2.90163954059885	3.68149494076569	-2.83082319864189	5.39902381313834	4.08206293900249	2.70013098698967	1.28016733218734	5.34990137110039	3.13236211322872	-3.95007773713505	1.85610169218761	-4.01986879954216	-0.106566284334958	1.16263947441455	-4.20853423149395	-2.21015369018764	-5.41419681692626	2.83164121336886	1.23809187691922	1.33937884185977	-2.856054314433	2.60040947717212	-0.276959260470295	3.93594854515922	2.82962137689867	2.13695848323123
Parabacteroides_johnsonii	-5.27336096953133	-3.74753710082573	-4.38753701963501	-5.32276978508046	-5.48099111522696	-2.58421905629005	-4.91651527672443	1.35488589732161	2.02089662864875	-5.14110974375986	0.530491563368473	-4.31412820927388	-4.55307873229639	7.15987839914656	3.76737991644678	-0.62754893910138	-3.64906398750392	2.32047584278056	-1.00960016885685	-5.80462505175615	4.29106262375578	-5.32543641572479	2.20652816443963	-3.31235778045859	4.22867925119268	-3.15700844945149	-4.70719925857447	-6.37216787621119	3.14057206460887	-1.0082236950724	-4.43161231895174	-5.34990439192828	-4.50140338135886	-3.92864168715342	-4.72097359650538	-4.69006881331065	-2.69168827200434	-5.89573139874295	-5.22532823574954	-4.18279605097826	-5.22028875317966	-3.3375888962497	2.77319834457732	-6.17271392978128	-2.16395317518691	3.14733999527521	-6.1149632464406
Parabacteroides_merdae	-4.08691963419335	-2.56109576548774	-3.20109568429703	5.55823358837451	5.96843684281097	5.54532649190523	-3.73007394138645	4.95200999682569	2.01459582849672	-2.31886087611051	5.16896756806304	-3.1276868739359	-3.36663739695841	7.82248085169249	3.53408001080284	-0.906720321885252	5.14190503118953	7.39610456826329	5.14312449691096	6.45762190232421	4.08915870158207	-4.1389950803868	3.54334548384584	-2.1259164451206	-0.424548229749188	5.99448914977191	-3.52075792323648	5.42227985898319	2.51690953091793	-3.78662616612774	7.51859894522051	4.53508795930434	3.21605864773092	4.95186661801798	6.02261746053777	3.97275948340456	-1.50524693666635	3.45039961903575	4.98575008273319	4.8981011214445	7.02287175218968	-2.15114756091171	2.49884927702262	5.10989954751397	7.0524270595751	4.275347676123	7.00339976537255
Paraprevotella_clara	-1.58483541844882	-0.0590115497432093	-0.699011468552492	-1.63424423399795	7.04324025145918	5.12796918692924	-1.22798972564191	-1.61098705242822	-1.61200383069997	-1.45258419267734	-1.76140200094338	-0.625602658191364	-0.864553181213873	-1.20609147163124	-1.4932082466031	4.55239627598794	-1.57931756128238	0.0951365498385214	3.97472989232082	-2.11609950067363	-2.56055599163108	-1.63691086464227	-2.60130128732969	0.376167770623933	-1.58690225812509	-1.76503691201248	-1.01867370749195	1.60717774690259	3.31739197917034	-1.2845419503832	-0.743086767869224	3.2546582269576	-0.812877830276341	-0.240116136070903	-1.03244804542286	-1.00154326222813	0.996837279078184	-2.20720584766043	-1.53680268466702	4.58425624405374	-1.53176320209714	0.350936654832823	-1.20091864346738	3.53619815118509	-1.55742900555485	-2.31798383575455	-2.42643769535808
Paraprevotella_xylaniphila	-4.09447401913844	-2.56865015043284	-3.20865006924212	-4.14388283468757	4.58006329926984	2.78442362697872	-3.73762832633154	-4.12062565311785	-4.1216424313896	-3.96222279336697	5.03462855764914	-3.13524125888099	-3.3741917819035	-3.71573007232087	-4.00284684729273	1.39501695418645	-4.08895616197201	-2.41450205085111	2.11566968359769	-4.62573810136326	-5.07019459232071	-4.1465494653319	-5.11093988801932	-2.1334708300657	-4.09654085881472	-4.27467551270211	-3.52831230818158	0.122968920908954	1.40084976387362	-3.79418055107283	8.84394036984754	1.4885005902518	-3.32251643096597	-2.74975473676053	-3.54208664611249	-3.51118186291776	-1.51280132161145	-4.71684444835006	-4.04644128535665	1.6797726419649	-4.04140180278677	-2.15870194585681	-3.71055724415701	1.04581035776576	-4.06706760624448	-5.25836743532467	-4.93607629604771
Parasutterella_excrementihominis	-4.03236370294875	6.17960999385098	-3.14653975305243	-0.471284567846505	1.3285765477895	0.533730849988192	0.255332469005312	4.6991172061265	-4.05953211519991	4.54960309899159	2.90610179137741	-3.0731309426913	-3.31208146571381	4.09424688658785	-3.94073653110304	-3.78510967220048	-1.13946472512555	-2.35239173466142	3.76006058657459	3.89154569476525	2.21989508928747	5.04333190958766	-1.56607673089897	-2.07136051387601	-4.03443054262503	1.7742228218575	5.61687401622802	1.27954524818594	1.38089626312764	-3.73207023488314	5.92344133800584	-4.1089071253457	4.86816788631801	-2.68764442057084	-3.4799763299228	-3.44907154672807	-1.45069100542176	-4.65473413216037	-3.98433096916696	-2.94179878439568	1.80184898957445	-2.09659162966712	-3.64844692796732	-1.31910493747063	4.95183673928092	4.44974279862389	-2.70394236957654
Prevotella_copri	3.10181718575895	1.18283746874288	3.26726911891162	-1.7962099825901	-3.0677227461711	-0.64239889248626	9.88957737193045	-4.0575671800609	-4.05858395833265	-0.635735247885246	0.960304312030963	3.33646771564664	10.3632130899136	-0.300277087582587	8.63882592054729	10.0486387367826	1.79378652977641	0.421522676813013	4.4909184536663	8.83465645608412	-0.48564053739568	-4.08349099227495	1.05372727107687	1.86925583585387	1.18872845899208	8.97253298255344	0.918956827547897	7.26646463413855	8.87062843920585	-3.73112207801589	1.47769888894585	9.63906639846785	0.571025204712324	11.1285361257368	-3.47902817305554	10.3733755896854	2.78351222568538	-0.0380390306064908	8.0938078189467	10.9792907613052	-3.97834332972982	0.150555135139171	3.22483684035703	6.63855011005463	1.96767223537065	-5.19530896226773	7.13135444503462
Prevotella_stercorea	-4.62326724929599	-3.09744338059038	2.33830462969367	-4.67267606484512	-4.83089739499162	-5.08858293555308	-4.26642155648908	-4.64941888327539	-4.65043566154714	-4.49101602352451	9.2458257739733	1.28304141310804	-3.90298501206104	-4.24452330247841	-3.28265586979213	-4.37601321854771	0.814542634162381	-2.94329528100865	2.34327863553449	6.56201673764396	-5.59898782247826	-4.67534269548944	-3.0724191343061	-2.66226406022324	9.01458126572797	1.28505439866646	-4.05710553833912	-0.906848339778636	5.65496853203461	-4.32297378123037	-3.7815185987164	1.6932553053928	-3.85130966112351	6.92612233178609	-4.07087987627003	8.41660555105569	-2.04159455176899	-5.2456376785076	1.80894223903228	8.73408525553451	-4.57019503294431	-2.68749517601435	-4.23935047431455	-5.52262020954593	-4.59586083640202	-5.78716066548222	-5.46486952620526
Roseburia_hominis	-4.05745362325235	2.82196717098438	-3.17162967335602	1.56889406569703	-4.26508376894798	-4.52276930950944	6.97362858384901	2.96196655355679	2.33926019792672	5.67921752920145	2.43557971790353	-3.0982208629949	3.49724513779057	-3.67870967643478	-3.96582645140663	1.11718163452558	1.97531446436501	2.02544079602352	1.68221837991244	4.58355680497321	3.43900791010964	-4.1095290694458	3.87861063956131	-2.0964504341796	1.53025086672337	4.87872372682866	-3.49129191229548	0.228032656626926	1.04222299847185	4.5789189581335	1.75938214316838	5.12244159695719	2.00344217256787	-0.182278106070654	-0.479365766682096	2.1762867297244	-1.47578092572535	4.7164535956804	-4.00942088947056	2.86063502870198	-1.4849028042074	-2.12168154997071	1.7509380110527	5.48631357216171	-4.03004721035838	5.25931363380692	6.3426920942115
