gene1	gene2	raw_edge_score
31	176	-0.41994910698497684
31	9744	-0.08894409847092855
31	23527	-0.02457920437448541
31	116983	0.082117366367365
31	38	0.12370999453580477
31	39	-0.11844845732765202
31	64746	-0.2228422108148082
31	79777	0.15296535148735627
31	91452	0.19420696902242632
31	84320	-0.1561628170053969
31	414149	-0.176016386347698
31	40	0.13184936807707964
31	41	-0.23887192074685204
31	9311	-0.08062411145174765
31	55515	-0.3078966790390406
31	390110	-0.13945135221857008
31	84680	-0.13975693519852456
31	65057	-0.2560325978541761
31	59272	-0.07395755094099422
31	125981	0.08620726615702394
31	340485	0.05320046849064153
31	55331	-0.12466106075748404
31	1636	-0.16939881534369522
31	43	-0.12017808781705609
31	22985	0.037308853869989736
31	47	0.5826174537279053
31	130013	0.01931786406036097
31	57001	0.06926738186188104
31	48	-0.09182896249153175
31	50	0.06602089707342296
31	26027	-0.037276332882085234
31	134526	-0.09807718192302887
31	55856	0.08190438010287612
31	641371	0.32347204643495364
31	10965	0.35600300563995496
31	122970	0.4713734554209116
31	641372	0.43239829193676105
31	11332	-0.24768451999933072
31	10005	-0.08686131285226432
31	23597	-0.2832907206821922
31	51	0.15757963640708697
31	8309	0.2229120343495745
31	8310	0.13139339124923427
31	55289	-0.23599146940106694
31	52	-0.29625549412349667
31	53	-0.051522722137381974
31	54	0.04230192328405251
31	51205	0.06388486841434202
31	92370	0.2044751712127046
31	55	-0.07869147225112162
31	93650	-0.06574059381981112
31	84519	0.20570886259878496
31	93953	0.035289398747993
31	56	-0.15172205796211888
31	49	-0.36180306007966884
31	23205	-0.30000690078122044
31	81616	-0.020810423012787488
31	80221	0.1794972627664583
31	197322	-0.04427772762786812
31	2180	-0.063147765951776
31	2181	0.21199617406827115
31	2182	-0.41734903208436136
31	51703	-0.09704635276977598
31	23305	-0.30852811453247453
31	116285	0.33960591154185277
31	123876	-0.05135803841086553
31	348158	-0.021779009369950864
31	6296	0.061808053862405336
31	54988	-0.039701015378915065
31	84532	-0.008453478195900203
31	55902	0.14220618163676207
31	79611	0.4186160696339134
31	58	-0.16098659589240427
31	59	-0.3168581720344339
31	345651	-0.13713673915741387
31	60	-0.3150155257198527
31	70	-0.3307616079965321
31	71	0.07650902041151238
31	72	-0.26967874241767115
31	86	0.1015795259196037
31	51412	-0.018433773922009372
31	10881	-0.1591342584378267
31	10880	-0.06000331359919195
31	81569	0.12017910428838902
31	284382	-0.0959329440213996
32	80724	0.09341868500748082
32	84129	0.34717674766291773
32	27034	0.15386722742079717
32	28976	-0.20011477423880417
32	33	0.051244398251828596
32	34	0.01976330677258319
32	36	0.2582708409048541
32	35	0.2788672688765992
32	37	0.18551283882581662
32	176	0.008183379742954397
32	9744	0.24816531720113844
32	23527	0.21842967528756188
32	116983	-0.016150939395098436
32	38	-0.041979458337805274
32	39	-0.28173963524685647
32	64746	-0.029775178360207936
32	79777	0.27554942444763675
32	91452	0.052598027293024686
32	84320	-0.17443920143463845
32	414149	-0.12882492559975817
32	40	0.037771687787493166
32	41	-0.03735702677591639
32	9311	-0.07943238604358184
32	55515	-0.02926370203959131
32	390110	0.02064701585160801
32	84680	0.25623284078638875
32	65057	-0.10991550118989257
32	59272	-0.23763895271648677
32	125981	0.12926943129477017
32	340485	0.20591786012719462
32	55331	0.050517563515003305
32	1636	0.16755061889261566
32	43	0.003238370959135629
32	22985	0.1365958969037824
32	47	-0.09806073777593532
32	130013	0.1452723323995653
32	57001	-0.07056132924828618
32	48	0.11995965846200216
32	50	-0.14139931595970154
32	26027	-0.09435432835818673
32	134526	-0.07845724659524664
32	55856	-0.5138970694429639
32	641371	0.17161232112495603
32	10965	0.13262131359220075
32	122970	0.047795674912953674
32	641372	0.006927207933098513
32	11332	-0.234219668237694
32	10005	-0.2038169018546481
32	23597	-0.13163608892773376
32	51	-0.1555738895801483
32	8309	0.06098066899785155
32	8310	0.12976986954977035
32	55289	-0.0645592845581212
32	52	-0.38239609820714204
32	53	-0.2828964581138827
32	54	-0.1750774346977896
32	51205	0.12305187017378962
32	92370	0.00665066452013886
32	55	-0.1642218907183855
32	93650	0.25736588569233315
32	84519	0.17982855744575865
32	93953	0.2283672513813266
32	56	-0.25162868592102794
32	49	0.03994049315107421
32	23205	-0.07058511647619525
32	81616	0.1361459934784071
32	80221	0.14771991540396734
32	197322	0.01878512446977482
32	2180	0.011628521610918676
32	2181	-0.060553890097966134
32	2182	0.09405689185502336
32	51703	0.11906846118829109
32	23305	-0.006916209231758591
32	116285	0.10617389581180799
32	123876	-0.13685442838527317
32	348158	-0.18581323415056406
32	6296	0.08440070283229348
32	54988	0.37711687449196396
32	84532	0.0761147094054993
32	55902	0.04863937832076288
32	79611	0.1712878605276948
32	58	-0.13219406908883424
32	59	0.16877002447358982
32	345651	0.009514274072694503
32	60	-0.16021132611736869
32	70	0.04247562860114466
32	71	-0.19774642147822033
32	72	0.11917282384833411
32	86	-0.3402737460726433
32	51412	0.032862382265252295
32	10881	0.2506264119932968
32	10880	0.1166496868868245
32	81569	-0.32419802885945903
32	284382	-0.12515098088050533
80724	84129	0.1932252890970579
80724	27034	0.29042875451228806
80724	28976	-0.035458280044815146
80724	33	0.04235566521645689
80724	34	0.17855879413390063
80724	36	0.4436187831591305
80724	35	0.2753635180128691
80724	37	0.31190032323846417
80724	176	-0.11588225135272222
80724	9744	0.09809402524492537
80724	23527	-0.2836619354546792
80724	116983	0.16886913771022405
80724	38	0.35522976331343437
80724	39	-0.40811772699057886
80724	64746	-0.24181983722427486
80724	79777	0.4501357259260984
80724	91452	-0.10294490192100535
80724	84320	0.014301382691165536
80724	414149	-0.14240618915939215
80724	40	0.14211372374494738
80724	41	-0.005486083101602063
80724	9311	-0.03245532477679375
80724	55515	-0.09083647371547357
80724	390110	0.018078067315848097
80724	84680	0.2376280198875873
80724	65057	0.06640687981517668
80724	59272	-0.2210431315423568
80724	125981	0.1659900666607271
80724	340485	-0.09590186682492717
80724	55331	-0.3728391820883641
80724	1636	-0.06890185568782561
80724	43	-0.046754206758789156
80724	22985	0.12827872745374902
80724	47	0.2533438557466899
80724	130013	0.14459502217946577
80724	57001	-0.043744868902692635
80724	48	-0.13188448772945435
80724	50	0.18242655581269954
80724	26027	-0.12121549617404814
80724	134526	-0.019739085976146643
80724	55856	-0.01976190219810391
80724	641371	0.4515166906281154
80724	10965	0.5161352629648385
80724	122970	0.4514797001904027
80724	641372	0.313852602365524
80724	11332	-0.09865999352932214
80724	10005	0.24986375472952446
80724	23597	-0.2777884690379246
80724	51	-0.03163234901595434
80724	8309	0.051363388340440616
80724	8310	0.39526705619781616
80724	55289	0.04304935590976823
80724	52	-0.3030284093919154
80724	53	-0.08486226198685352
80724	54	0.10430380654889684
80724	51205	0.38148959528048443
80724	92370	0.08222257228434532
80724	55	-0.06230575405709776
80724	93650	-0.12029722828519868
80724	84519	0.22411828037708437
80724	93953	0.1488041113352076
80724	56	-0.040051889145772866
80724	49	-0.0397046292069679
80724	23205	-0.0413119991769601
80724	81616	0.021191274748278546
80724	80221	0.315162282471126
80724	197322	0.2940701039364926
80724	2180	0.030168364462428883
80724	2181	-0.09372182562535544
80724	2182	-0.3440500509758155
80724	51703	-0.08581589556324638
80724	23305	-0.12980885992292623
